"","year","ward","cost","category","program","description"
"11307",2017,21,5226.45,"Streets & Transportation","Sidewalk Menu ","9055 S CARPENTER ST"
"11308",2017,21,7632.6,"Streets & Transportation","Sidewalk Menu ","9038 S CARPENTER ST"
"11309",2017,21,28790.6,"Streets & Transportation","Sidewalk Menu ","8359 S ELIZABETH ST"
"11310",2017,21,3024.6,"Streets & Transportation","Sidewalk Menu ","8145 S PEORIA ST"
"11311",2017,21,20522.14,"Streets & Transportation","Sidewalk Menu ","503 W 81ST PL:510-511 W 81ST PL"
"11312",2017,21,21561.9,"Streets & Transportation","Sidewalk Menu ","1008 W 89TH ST"
"11313",2017,21,1301.92,"Streets & Transportation","Sidewalk Menu ","9701 S HARVARD AVE"
"11314",2017,21,6464.59,"Streets & Transportation","Sidewalk Menu ","8541 S BISHOP ST"
"11315",2017,21,5820.91,"Streets & Transportation","Sidewalk Menu ","S PAULINA ST & W 92ND ST"
"11316",2017,21,3895.17,"Streets & Transportation","Sidewalk Menu ","8152 S LAFLIN ST"
"11317",2017,21,6786.45,"Streets & Transportation","Sidewalk Menu ","8613 S WOOD ST"
"11318",2017,21,35037.97,"Streets & Transportation","Sidewalk Menu ","8801 S HERMITAGE AVE"
"11319",2017,21,4506.93,"Streets & Transportation","Sidewalk Menu ","8152 S ELIZABETH ST"
"11320",2017,21,7688.92,"Streets & Transportation","Sidewalk Menu ","9604 S LOWE AVE"
"11321",2017,21,6558.13,"Streets & Transportation","Sidewalk Menu ","518 W 88TH ST"
"11322",2017,21,5166.63,"Streets & Transportation","Sidewalk Menu ","8746 S EMERALD AVE"
"11323",2017,21,53869.27,"Streets & Transportation","Sidewalk Menu ","9130 S VINCENNES AVE"
"11324",2017,21,8663.43,"Streets & Transportation","Street Cul-de-Sac Menu ","S PARNELL AVE & W 85TH ST"
"11325",2017,21,500,"Lighting","Street Light Upgrade Menu ","9021 S ELIZABETH ST"
"11326",2017,21,500,"Lighting","Street Light Upgrade Menu ","9216 S LOOMIS ST"
"11327",2017,21,268813.2,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(730 W)"
"11328",2017,21,41045.74,"Streets & Transportation","Street Resurfacing Menu ","ON S LOWE AVE FROM W 86TH ST (8600 S) TO W 87TH ST N (8650 S)"
"11329",2017,21,29323.87,"Streets & Transportation","Street Resurfacing Menu ","W)"
"11330",2017,21,46907.22,"Streets & Transportation","Street Resurfacing Menu ","(1900 W)"
"11331",2017,21,45720.68,"Streets & Transportation","Street Resurfacing Menu ","ON S BISHOP ST FROM W 87TH ST (8700 S) TO W 88TH ST (8800 S)"
"11332",2017,21,80145.8,"Streets & Transportation","Street Resurfacing Menu ","ON S SANGAMON ST FROM W 92ND ST (9200 S) TO W 93RD ST (9300 S)"
"11333",2017,21,32981.24,"Streets & Transportation","Street Resurfacing Menu ","ON S PRINCETON AVE FROM W 98TH ST (9800 S) TO W 98TH PL (9830 S)"
"11334",2017,21,61094.21,"Streets & Transportation","Street Resurfacing Menu ","ON S MORGAN ST FROM W 96TH ST (9600 S) TO W 97TH ST (9700 S)"
"11335",2017,21,40763.29,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11336",2017,21,103696.44,"Streets & Transportation","Street Resurfacing Menu ","W)"
"11337",2017,21,54399.99,"Streets & Transportation","Street Resurfacing Menu ","ON S LAFLIN ST FROM W 94TH ST (9400 S) TO W 95TH ST (9500 S)"
"11338",2017,21,40061.81,"Streets & Transportation","Street Resurfacing Menu ","ON S ABERDEEN ST FROM W 82ND ST (8200 S) TO W 83RD ST (8300 S)"
"11339",2017,21,68077.76,"Streets & Transportation","Street Resurfacing Menu ","ON S BISHOP ST FROM W 92ND ST (9200 S) TO W 93RD ST (9300 S)"
"11340",2017,21,3846.1,"Streets & Transportation","Street Resurfacing Menu (2018)","ON S WALLACE ST FROM W 94TH ST (9400 S) TO W 95TH ST (9500 S)"
"11341",2017,21,50628.37,"Streets & Transportation","Street Resurfacing Menu (2018)","ON S LAFLIN ST FROM W 91ST ST (9100 S) TO W 92ND ST (9200 S)"
"11342",2017,21,45443.35,"Streets & Transportation","Street Resurfacing Menu (2018)","ON S JUSTINE ST FROM W 86TH ST (8600 S) TO W 87TH ST (8700 S)"
"11343",2017,21,3700,"Streets & Transportation","Street Speed Hump Menu ","8000 S HERMITAGE AVE"
"11344",2017,21,3700,"Streets & Transportation","Street Speed Hump Menu ","ON S ADA ST FROM W 94TH ST (9400 S) TO W 95TH ST (9500 S)"
"11345",2017,21,5550,"Streets & Transportation","Street Speed Hump Menu ","S)"
"11346",2017,21,1850,"Streets & Transportation","Street Speed Hump Menu ","ON W 81ST ST FROM S NORMAL AVE (500 W) TO S WALLACE ST (600 W)"
"11347",2017,21,3700,"Streets & Transportation","Street Speed Hump Menu ","ON S JUSTINE ST FROM W 91ST ST (9100 S) TO W 92ND ST (9200 S)"
"11348",2017,21,3700,"Streets & Transportation","Street Speed Hump Menu (2018)","ON S PRINCETON AVE FROM W 88TH ST (8800 S) TO W 89TH ST (8900 S)"
"11349",2017,21,3700,"Streets & Transportation","Street Speed Hump Menu (2018)","9100 S UNION AVE"
"11350",2017,21,5562.2,"Beautification","Viaduct Improvement Menu ","S VINCENNES AVE & W 87TH ST"
"11351",2017,22,33417.95,"Streets & Transportation","Alley Resurfacing Menu (1-1) ","2307 S HOMAN AVE"
"11352",2017,22,50124.05,"Streets & Transportation","Alley Resurfacing Menu ","2651 S CENTRAL PARK AVE"
