"","description","costA","costB","ward","program","year","cost"
"154","ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S 0.00 ","30,507.00",NA,"3","Sidewalk Menu",2012,30507
"155","ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST 0.00 ","22,651.00",NA,"3","Sidewalk Menu",2012,22651
"156","ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV 2.00 ","94,958.00",NA,"3","Street Resurfacing Menu",2012,94958
"157","ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S) ","6,790.00",NA,"3","Street Resurfacing Menu",2012,6790
"158","ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41 3.00 ","135,801.00",NA,"3","Street Resurfacing Menu",2012,135801
"159","ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST 2.00 ","176,667.00",NA,"3","Street Resurfacing Menu",2012,176667
"160","ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S) 2.00 ","106,066.00",NA,"3","Street Resurfacing Menu",2012,106066
"161","ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S) 3.00 ","188,861.00",NA,"3","Street Resurfacing Menu",2012,188861
"162","ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 1.00 ","3,700.00",NA,"3","Street Speed Hump Menu",2012,3700
"163","ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S) 1.00 ","5,550.00",NA,"3","Street Speed Hump Menu",2012,5550
"164","ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S) 1.00 ","3,700.00",NA,"3","Street Speed Hump Menu",2012,3700
"165","ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV Adding Floodlight with Mast Arm ","1,200.00",NA,"3","Floodlight Menu",2012,1200
"166","ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E) Install floodlights on El tracks & New Controller ","10,000.00",NA,"3","Floodlight Menu",2012,10000
"167","ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST ","128,000.00",NA,"3","Street Light Residential",2012,128000
